1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
1;2;12.03.2015;2
3;2;12.03.2015;2
3;2;06.04.2021;2
3;2;06.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
3;2;06.04.2021;2
1;3;08.04.2021;2
